Portas;Bloco_Publico;Bloco_Privado
1024 - 3039;187.61.110.160;100.64.0.0
1024 - 3039;187.61.110.161;100.64.0.1
1024 - 3039;187.61.110.162;100.64.0.2
1024 - 3039;187.61.110.163;100.64.0.3
1024 - 3039;187.61.110.164;100.64.0.4
1024 - 3039;187.61.110.165;100.64.0.5
1024 - 3039;187.61.110.166;100.64.0.6
1024 - 3039;187.61.110.167;100.64.0.7
3040 - 5055;187.61.110.160;100.64.0.8
3040 - 5055;187.61.110.161;100.64.0.9
3040 - 5055;187.61.110.162;100.64.0.10
3040 - 5055;187.61.110.163;100.64.0.11
3040 - 5055;187.61.110.164;100.64.0.12
3040 - 5055;187.61.110.165;100.64.0.13
3040 - 5055;187.61.110.166;100.64.0.14
3040 - 5055;187.61.110.167;100.64.0.15
5056 - 7071;187.61.110.160;100.64.0.16
5056 - 7071;187.61.110.161;100.64.0.17
5056 - 7071;187.61.110.162;100.64.0.18
5056 - 7071;187.61.110.163;100.64.0.19
5056 - 7071;187.61.110.164;100.64.0.20
5056 - 7071;187.61.110.165;100.64.0.21
5056 - 7071;187.61.110.166;100.64.0.22
5056 - 7071;187.61.110.167;100.64.0.23
7072 - 9087;187.61.110.160;100.64.0.24
7072 - 9087;187.61.110.161;100.64.0.25
7072 - 9087;187.61.110.162;100.64.0.26
7072 - 9087;187.61.110.163;100.64.0.27
7072 - 9087;187.61.110.164;100.64.0.28
7072 - 9087;187.61.110.165;100.64.0.29
7072 - 9087;187.61.110.166;100.64.0.30
7072 - 9087;187.61.110.167;100.64.0.31
9088 - 11103;187.61.110.160;100.64.0.32
9088 - 11103;187.61.110.161;100.64.0.33
9088 - 11103;187.61.110.162;100.64.0.34
9088 - 11103;187.61.110.163;100.64.0.35
9088 - 11103;187.61.110.164;100.64.0.36
9088 - 11103;187.61.110.165;100.64.0.37
9088 - 11103;187.61.110.166;100.64.0.38
9088 - 11103;187.61.110.167;100.64.0.39
11104 - 13119;187.61.110.160;100.64.0.40
11104 - 13119;187.61.110.161;100.64.0.41
11104 - 13119;187.61.110.162;100.64.0.42
11104 - 13119;187.61.110.163;100.64.0.43
11104 - 13119;187.61.110.164;100.64.0.44
11104 - 13119;187.61.110.165;100.64.0.45
11104 - 13119;187.61.110.166;100.64.0.46
11104 - 13119;187.61.110.167;100.64.0.47
13120 - 15135;187.61.110.160;100.64.0.48
13120 - 15135;187.61.110.161;100.64.0.49
13120 - 15135;187.61.110.162;100.64.0.50
13120 - 15135;187.61.110.163;100.64.0.51
13120 - 15135;187.61.110.164;100.64.0.52
13120 - 15135;187.61.110.165;100.64.0.53
13120 - 15135;187.61.110.166;100.64.0.54
13120 - 15135;187.61.110.167;100.64.0.55
15136 - 17151;187.61.110.160;100.64.0.56
15136 - 17151;187.61.110.161;100.64.0.57
15136 - 17151;187.61.110.162;100.64.0.58
15136 - 17151;187.61.110.163;100.64.0.59
15136 - 17151;187.61.110.164;100.64.0.60
15136 - 17151;187.61.110.165;100.64.0.61
15136 - 17151;187.61.110.166;100.64.0.62
15136 - 17151;187.61.110.167;100.64.0.63
17152 - 19167;187.61.110.160;100.64.0.64
17152 - 19167;187.61.110.161;100.64.0.65
17152 - 19167;187.61.110.162;100.64.0.66
17152 - 19167;187.61.110.163;100.64.0.67
17152 - 19167;187.61.110.164;100.64.0.68
17152 - 19167;187.61.110.165;100.64.0.69
17152 - 19167;187.61.110.166;100.64.0.70
17152 - 19167;187.61.110.167;100.64.0.71
19168 - 21183;187.61.110.160;100.64.0.72
19168 - 21183;187.61.110.161;100.64.0.73
19168 - 21183;187.61.110.162;100.64.0.74
19168 - 21183;187.61.110.163;100.64.0.75
19168 - 21183;187.61.110.164;100.64.0.76
19168 - 21183;187.61.110.165;100.64.0.77
19168 - 21183;187.61.110.166;100.64.0.78
19168 - 21183;187.61.110.167;100.64.0.79
21184 - 23199;187.61.110.160;100.64.0.80
21184 - 23199;187.61.110.161;100.64.0.81
21184 - 23199;187.61.110.162;100.64.0.82
21184 - 23199;187.61.110.163;100.64.0.83
21184 - 23199;187.61.110.164;100.64.0.84
21184 - 23199;187.61.110.165;100.64.0.85
21184 - 23199;187.61.110.166;100.64.0.86
21184 - 23199;187.61.110.167;100.64.0.87
23200 - 25215;187.61.110.160;100.64.0.88
23200 - 25215;187.61.110.161;100.64.0.89
23200 - 25215;187.61.110.162;100.64.0.90
23200 - 25215;187.61.110.163;100.64.0.91
23200 - 25215;187.61.110.164;100.64.0.92
23200 - 25215;187.61.110.165;100.64.0.93
23200 - 25215;187.61.110.166;100.64.0.94
