Portas;Bloco_Publico;Bloco_Privado
1024 - 3039;186.0.148.128;100.64.4.0
1024 - 3039;186.0.148.129;100.64.4.1
1024 - 3039;186.0.148.130;100.64.4.2
1024 - 3039;186.0.148.131;100.64.4.3
1024 - 3039;186.0.148.132;100.64.4.4
1024 - 3039;186.0.148.133;100.64.4.5
1024 - 3039;186.0.148.134;100.64.4.6
1024 - 3039;186.0.148.135;100.64.4.7
1024 - 3039;186.0.148.136;100.64.4.8
1024 - 3039;186.0.148.137;100.64.4.9
1024 - 3039;186.0.148.138;100.64.4.10
1024 - 3039;186.0.148.139;100.64.4.11
1024 - 3039;186.0.148.140;100.64.4.12
1024 - 3039;186.0.148.141;100.64.4.13
1024 - 3039;186.0.148.142;100.64.4.14
1024 - 3039;186.0.148.143;100.64.4.15
1024 - 3039;186.0.148.144;100.64.4.16
1024 - 3039;186.0.148.145;100.64.4.17
1024 - 3039;186.0.148.146;100.64.4.18
1024 - 3039;186.0.148.147;100.64.4.19
1024 - 3039;186.0.148.148;100.64.4.20
1024 - 3039;186.0.148.149;100.64.4.21
1024 - 3039;186.0.148.150;100.64.4.22
1024 - 3039;186.0.148.151;100.64.4.23
1024 - 3039;186.0.148.152;100.64.4.24
1024 - 3039;186.0.148.153;100.64.4.25
1024 - 3039;186.0.148.154;100.64.4.26
1024 - 3039;186.0.148.155;100.64.4.27
1024 - 3039;186.0.148.156;100.64.4.28
1024 - 3039;186.0.148.157;100.64.4.29
1024 - 3039;186.0.148.158;100.64.4.30
1024 - 3039;186.0.148.159;100.64.4.31
3040 - 5055;186.0.148.128;100.64.4.32
3040 - 5055;186.0.148.129;100.64.4.33
3040 - 5055;186.0.148.130;100.64.4.34
3040 - 5055;186.0.148.131;100.64.4.35
3040 - 5055;186.0.148.132;100.64.4.36
3040 - 5055;186.0.148.133;100.64.4.37
3040 - 5055;186.0.148.134;100.64.4.38
3040 - 5055;186.0.148.135;100.64.4.39
3040 - 5055;186.0.148.136;100.64.4.40
3040 - 5055;186.0.148.137;100.64.4.41
3040 - 5055;186.0.148.138;100.64.4.42
3040 - 5055;186.0.148.139;100.64.4.43
3040 - 5055;186.0.148.140;100.64.4.44
3040 - 5055;186.0.148.141;100.64.4.45
3040 - 5055;186.0.148.142;100.64.4.46
3040 - 5055;186.0.148.143;100.64.4.47
3040 - 5055;186.0.148.144;100.64.4.48
3040 - 5055;186.0.148.145;100.64.4.49
3040 - 5055;186.0.148.146;100.64.4.50
3040 - 5055;186.0.148.147;100.64.4.51
3040 - 5055;186.0.148.148;100.64.4.52
3040 - 5055;186.0.148.149;100.64.4.53
3040 - 5055;186.0.148.150;100.64.4.54
3040 - 5055;186.0.148.151;100.64.4.55
3040 - 5055;186.0.148.152;100.64.4.56
3040 - 5055;186.0.148.153;100.64.4.57
3040 - 5055;186.0.148.154;100.64.4.58
3040 - 5055;186.0.148.155;100.64.4.59
3040 - 5055;186.0.148.156;100.64.4.60
3040 - 5055;186.0.148.157;100.64.4.61
3040 - 5055;186.0.148.158;100.64.4.62
3040 - 5055;186.0.148.159;100.64.4.63
