Portas;Bloco_Publico;Bloco_Privado
1024 - 5055;187.61.110.0;100.64.0.0
1024 - 5055;187.61.110.1;100.64.0.1
1024 - 5055;187.61.110.2;100.64.0.2
1024 - 5055;187.61.110.3;100.64.0.3
1024 - 5055;187.61.110.4;100.64.0.4
1024 - 5055;187.61.110.5;100.64.0.5
1024 - 5055;187.61.110.6;100.64.0.6
1024 - 5055;187.61.110.7;100.64.0.7
1024 - 5055;187.61.110.8;100.64.0.8
1024 - 5055;187.61.110.9;100.64.0.9
1024 - 5055;187.61.110.10;100.64.0.10
1024 - 5055;187.61.110.11;100.64.0.11
1024 - 5055;187.61.110.12;100.64.0.12
1024 - 5055;187.61.110.13;100.64.0.13
1024 - 5055;187.61.110.14;100.64.0.14
1024 - 5055;187.61.110.15;100.64.0.15
1024 - 5055;187.61.110.16;100.64.0.16
1024 - 5055;187.61.110.17;100.64.0.17
1024 - 5055;187.61.110.18;100.64.0.18
1024 - 5055;187.61.110.19;100.64.0.19
1024 - 5055;187.61.110.20;100.64.0.20
1024 - 5055;187.61.110.21;100.64.0.21
1024 - 5055;187.61.110.22;100.64.0.22
1024 - 5055;187.61.110.23;100.64.0.23
1024 - 5055;187.61.110.24;100.64.0.24
1024 - 5055;187.61.110.25;100.64.0.25
1024 - 5055;187.61.110.26;100.64.0.26
1024 - 5055;187.61.110.27;100.64.0.27
1024 - 5055;187.61.110.28;100.64.0.28
1024 - 5055;187.61.110.29;100.64.0.29
1024 - 5055;187.61.110.30;100.64.0.30
1024 - 5055;187.61.110.31;100.64.0.31
1024 - 5055;187.61.110.32;100.64.0.32
1024 - 5055;187.61.110.33;100.64.0.33
1024 - 5055;187.61.110.34;100.64.0.34
1024 - 5055;187.61.110.35;100.64.0.35
1024 - 5055;187.61.110.36;100.64.0.36
1024 - 5055;187.61.110.37;100.64.0.37
1024 - 5055;187.61.110.38;100.64.0.38
1024 - 5055;187.61.110.39;100.64.0.39
1024 - 5055;187.61.110.40;100.64.0.40
1024 - 5055;187.61.110.41;100.64.0.41
1024 - 5055;187.61.110.42;100.64.0.42
1024 - 5055;187.61.110.43;100.64.0.43
1024 - 5055;187.61.110.44;100.64.0.44
1024 - 5055;187.61.110.45;100.64.0.45
1024 - 5055;187.61.110.46;100.64.0.46
1024 - 5055;187.61.110.47;100.64.0.47
1024 - 5055;187.61.110.48;100.64.0.48
1024 - 5055;187.61.110.49;100.64.0.49
1024 - 5055;187.61.110.50;100.64.0.50
1024 - 5055;187.61.110.51;100.64.0.51
1024 - 5055;187.61.110.52;100.64.0.52
