Portas;Bloco_Publico;Bloco_Privado
1024 - 3039;186.248.165.192;100.66.0.0
1024 - 3039;186.248.165.193;100.66.0.1
1024 - 3039;186.248.165.194;100.66.0.2
1024 - 3039;186.248.165.195;100.66.0.3
1024 - 3039;186.248.165.196;100.66.0.4
1024 - 3039;186.248.165.197;100.66.0.5
1024 - 3039;186.248.165.198;100.66.0.6
1024 - 3039;186.248.165.199;100.66.0.7
1024 - 3039;186.248.165.200;100.66.0.8
1024 - 3039;186.248.165.201;100.66.0.9
1024 - 3039;186.248.165.202;100.66.0.10
1024 - 3039;186.248.165.203;100.66.0.11
1024 - 3039;186.248.165.204;100.66.0.12
1024 - 3039;186.248.165.205;100.66.0.13
1024 - 3039;186.248.165.206;100.66.0.14
1024 - 3039;186.248.165.207;100.66.0.15
3040 - 5055;186.248.165.192;100.66.0.16
3040 - 5055;186.248.165.193;100.66.0.17
3040 - 5055;186.248.165.194;100.66.0.18
3040 - 5055;186.248.165.195;100.66.0.19
3040 - 5055;186.248.165.196;100.66.0.20
3040 - 5055;186.248.165.197;100.66.0.21
3040 - 5055;186.248.165.198;100.66.0.22
3040 - 5055;186.248.165.199;100.66.0.23
3040 - 5055;186.248.165.200;100.66.0.24
3040 - 5055;186.248.165.201;100.66.0.25
3040 - 5055;186.248.165.202;100.66.0.26
3040 - 5055;186.248.165.203;100.66.0.27
3040 - 5055;186.248.165.204;100.66.0.28
3040 - 5055;186.248.165.205;100.66.0.29
3040 - 5055;186.248.165.206;100.66.0.30
3040 - 5055;186.248.165.207;100.66.0.31
5056 - 7071;186.248.165.192;100.66.0.32
5056 - 7071;186.248.165.193;100.66.0.33
5056 - 7071;186.248.165.194;100.66.0.34
5056 - 7071;186.248.165.195;100.66.0.35
5056 - 7071;186.248.165.196;100.66.0.36
5056 - 7071;186.248.165.197;100.66.0.37
5056 - 7071;186.248.165.198;100.66.0.38
5056 - 7071;186.248.165.199;100.66.0.39
5056 - 7071;186.248.165.200;100.66.0.40
5056 - 7071;186.248.165.201;100.66.0.41
5056 - 7071;186.248.165.202;100.66.0.42
5056 - 7071;186.248.165.203;100.66.0.43
5056 - 7071;186.248.165.204;100.66.0.44
5056 - 7071;186.248.165.205;100.66.0.45
5056 - 7071;186.248.165.206;100.66.0.46
5056 - 7071;186.248.165.207;100.66.0.47
7072 - 9087;186.248.165.192;100.66.0.48
7072 - 9087;186.248.165.193;100.66.0.49
7072 - 9087;186.248.165.194;100.66.0.50
7072 - 9087;186.248.165.195;100.66.0.51
7072 - 9087;186.248.165.196;100.66.0.52
7072 - 9087;186.248.165.197;100.66.0.53
7072 - 9087;186.248.165.198;100.66.0.54
7072 - 9087;186.248.165.199;100.66.0.55
7072 - 9087;186.248.165.200;100.66.0.56
7072 - 9087;186.248.165.201;100.66.0.57
7072 - 9087;186.248.165.202;100.66.0.58
7072 - 9087;186.248.165.203;100.66.0.59
7072 - 9087;186.248.165.204;100.66.0.60
7072 - 9087;186.248.165.205;100.66.0.61
7072 - 9087;186.248.165.206;100.66.0.62
7072 - 9087;186.248.165.207;100.66.0.63
9088 - 11103;186.248.165.192;100.66.0.64
9088 - 11103;186.248.165.193;100.66.0.65
9088 - 11103;186.248.165.194;100.66.0.66
9088 - 11103;186.248.165.195;100.66.0.67
9088 - 11103;186.248.165.196;100.66.0.68
9088 - 11103;186.248.165.197;100.66.0.69
9088 - 11103;186.248.165.198;100.66.0.70
9088 - 11103;186.248.165.199;100.66.0.71
9088 - 11103;186.248.165.200;100.66.0.72
9088 - 11103;186.248.165.201;100.66.0.73
9088 - 11103;186.248.165.202;100.66.0.74
9088 - 11103;186.248.165.203;100.66.0.75
9088 - 11103;186.248.165.204;100.66.0.76
9088 - 11103;186.248.165.205;100.66.0.77
9088 - 11103;186.248.165.206;100.66.0.78
9088 - 11103;186.248.165.207;100.66.0.79
11104 - 13119;186.248.165.192;100.66.0.80
11104 - 13119;186.248.165.193;100.66.0.81
11104 - 13119;186.248.165.194;100.66.0.82
11104 - 13119;186.248.165.195;100.66.0.83
11104 - 13119;186.248.165.196;100.66.0.84
11104 - 13119;186.248.165.197;100.66.0.85
11104 - 13119;186.248.165.198;100.66.0.86
11104 - 13119;186.248.165.199;100.66.0.87
11104 - 13119;186.248.165.200;100.66.0.88
11104 - 13119;186.248.165.201;100.66.0.89
11104 - 13119;186.248.165.202;100.66.0.90
11104 - 13119;186.248.165.203;100.66.0.91
11104 - 13119;186.248.165.204;100.66.0.92
11104 - 13119;186.248.165.205;100.66.0.93
11104 - 13119;186.248.165.206;100.66.0.94
11104 - 13119;186.248.165.207;100.66.0.95
13120 - 15135;186.248.165.192;100.66.0.96
13120 - 15135;186.248.165.193;100.66.0.97
13120 - 15135;186.248.165.194;100.66.0.98
13120 - 15135;186.248.165.195;100.66.0.99
13120 - 15135;186.248.165.196;100.66.0.100
13120 - 15135;186.248.165.197;100.66.0.101
13120 - 15135;186.248.165.198;100.66.0.102
13120 - 15135;186.248.165.199;100.66.0.103
13120 - 15135;186.248.165.200;100.66.0.104
13120 - 15135;186.248.165.201;100.66.0.105
13120 - 15135;186.248.165.202;100.66.0.106
13120 - 15135;186.248.165.203;100.66.0.107
13120 - 15135;186.248.165.204;100.66.0.108
13120 - 15135;186.248.165.205;100.66.0.109
13120 - 15135;186.248.165.206;100.66.0.110
13120 - 15135;186.248.165.207;100.66.0.111
15136 - 17151;186.248.165.192;100.66.0.112
15136 - 17151;186.248.165.193;100.66.0.113
15136 - 17151;186.248.165.194;100.66.0.114
15136 - 17151;186.248.165.195;100.66.0.115
15136 - 17151;186.248.165.196;100.66.0.116
15136 - 17151;186.248.165.197;100.66.0.117
15136 - 17151;186.248.165.198;100.66.0.118
15136 - 17151;186.248.165.199;100.66.0.119
15136 - 17151;186.248.165.200;100.66.0.120
15136 - 17151;186.248.165.201;100.66.0.121
15136 - 17151;186.248.165.202;100.66.0.122
15136 - 17151;186.248.165.203;100.66.0.123
15136 - 17151;186.248.165.204;100.66.0.124
15136 - 17151;186.248.165.205;100.66.0.125
15136 - 17151;186.248.165.206;100.66.0.126
15136 - 17151;186.248.165.207;100.66.0.127
17152 - 19167;186.248.165.192;100.66.0.128
17152 - 19167;186.248.165.193;100.66.0.129
17152 - 19167;186.248.165.194;100.66.0.130
17152 - 19167;186.248.165.195;100.66.0.131
17152 - 19167;186.248.165.196;100.66.0.132
17152 - 19167;186.248.165.197;100.66.0.133
17152 - 19167;186.248.165.198;100.66.0.134
17152 - 19167;186.248.165.199;100.66.0.135
17152 - 19167;186.248.165.200;100.66.0.136
17152 - 19167;186.248.165.201;100.66.0.137
17152 - 19167;186.248.165.202;100.66.0.138
17152 - 19167;186.248.165.203;100.66.0.139
17152 - 19167;186.248.165.204;100.66.0.140
17152 - 19167;186.248.165.205;100.66.0.141
17152 - 19167;186.248.165.206;100.66.0.142
17152 - 19167;186.248.165.207;100.66.0.143
19168 - 21183;186.248.165.192;100.66.0.144
19168 - 21183;186.248.165.193;100.66.0.145
19168 - 21183;186.248.165.194;100.66.0.146
19168 - 21183;186.248.165.195;100.66.0.147
19168 - 21183;186.248.165.196;100.66.0.148
19168 - 21183;186.248.165.197;100.66.0.149
19168 - 21183;186.248.165.198;100.66.0.150
19168 - 21183;186.248.165.199;100.66.0.151
19168 - 21183;186.248.165.200;100.66.0.152
19168 - 21183;186.248.165.201;100.66.0.153
19168 - 21183;186.248.165.202;100.66.0.154
19168 - 21183;186.248.165.203;100.66.0.155
19168 - 21183;186.248.165.204;100.66.0.156
19168 - 21183;186.248.165.205;100.66.0.157
19168 - 21183;186.248.165.206;100.66.0.158
19168 - 21183;186.248.165.207;100.66.0.159
21184 - 23199;186.248.165.192;100.66.0.160
21184 - 23199;186.248.165.193;100.66.0.161
21184 - 23199;186.248.165.194;100.66.0.162
21184 - 23199;186.248.165.195;100.66.0.163
21184 - 23199;186.248.165.196;100.66.0.164
21184 - 23199;186.248.165.197;100.66.0.165
21184 - 23199;186.248.165.198;100.66.0.166
21184 - 23199;186.248.165.199;100.66.0.167
21184 - 23199;186.248.165.200;100.66.0.168
21184 - 23199;186.248.165.201;100.66.0.169
21184 - 23199;186.248.165.202;100.66.0.170
21184 - 23199;186.248.165.203;100.66.0.171
21184 - 23199;186.248.165.204;100.66.0.172
21184 - 23199;186.248.165.205;100.66.0.173
21184 - 23199;186.248.165.206;100.66.0.174
21184 - 23199;186.248.165.207;100.66.0.175
23200 - 25215;186.248.165.192;100.66.0.176
23200 - 25215;186.248.165.193;100.66.0.177
23200 - 25215;186.248.165.194;100.66.0.178
23200 - 25215;186.248.165.195;100.66.0.179
23200 - 25215;186.248.165.196;100.66.0.180
23200 - 25215;186.248.165.197;100.66.0.181
23200 - 25215;186.248.165.198;100.66.0.182
23200 - 25215;186.248.165.199;100.66.0.183
23200 - 25215;186.248.165.200;100.66.0.184
23200 - 25215;186.248.165.201;100.66.0.185
23200 - 25215;186.248.165.202;100.66.0.186
23200 - 25215;186.248.165.203;100.66.0.187
23200 - 25215;186.248.165.204;100.66.0.188
23200 - 25215;186.248.165.205;100.66.0.189
23200 - 25215;186.248.165.206;100.66.0.190
23200 - 25215;186.248.165.207;100.66.0.191
25216 - 27231;186.248.165.192;100.66.0.192
25216 - 27231;186.248.165.193;100.66.0.193
25216 - 27231;186.248.165.194;100.66.0.194
25216 - 27231;186.248.165.195;100.66.0.195
25216 - 27231;186.248.165.196;100.66.0.196
25216 - 27231;186.248.165.197;100.66.0.197
25216 - 27231;186.248.165.198;100.66.0.198
25216 - 27231;186.248.165.199;100.66.0.199
25216 - 27231;186.248.165.200;100.66.0.200
25216 - 27231;186.248.165.201;100.66.0.201
25216 - 27231;186.248.165.202;100.66.0.202
25216 - 27231;186.248.165.203;100.66.0.203
25216 - 27231;186.248.165.204;100.66.0.204
25216 - 27231;186.248.165.205;100.66.0.205
25216 - 27231;186.248.165.206;100.66.0.206
25216 - 27231;186.248.165.207;100.66.0.207
27232 - 29247;186.248.165.192;100.66.0.208
27232 - 29247;186.248.165.193;100.66.0.209
27232 - 29247;186.248.165.194;100.66.0.210
27232 - 29247;186.248.165.195;100.66.0.211
27232 - 29247;186.248.165.196;100.66.0.212
27232 - 29247;186.248.165.197;100.66.0.213
27232 - 29247;186.248.165.198;100.66.0.214
27232 - 29247;186.248.165.199;100.66.0.215
27232 - 29247;186.248.165.200;100.66.0.216
27232 - 29247;186.248.165.201;100.66.0.217
27232 - 29247;186.248.165.202;100.66.0.218
27232 - 29247;186.248.165.203;100.66.0.219
27232 - 29247;186.248.165.204;100.66.0.220
27232 - 29247;186.248.165.205;100.66.0.221
27232 - 29247;186.248.165.206;100.66.0.222
27232 - 29247;186.248.165.207;100.66.0.223
29248 - 31263;186.248.165.192;100.66.0.224
